store,raw_product_type,product_count,canonical_category
kotsovolos,Αξεσουάρ Car Audio,8,
kotsovolos,Θερμοηλεκτρικά Ψυγεία,8,refrigerators
kotsovolos,Κλιμαστικά Multi,8,air_conditioners
kotsovolos,Επαγγελματικοί Ανεμιστήρες,8,
kotsovolos,Αξεσουάρ Tablet,8,
kotsovolos,Φωτογραφικοί Εκτυπωτές,8,
kotsovolos,Χαρτί Εκτύπωσης,8,
kotsovolos,Digital Signage,8,
kotsovolos,Αξεσουάρ Περιποίησης,8,
kotsovolos,Μικροεφαρμογές,8,
kotsovolos,Κλιματιστικά,8,air_conditioners
kotsovolos,Laptops - Desktops,8,
kotsovolos,Ηλεκτρολογικό Υλικό,7,
kotsovolos,Φορητά Κλιματιστικά,7,air_conditioners
kotsovolos,Όλες οι οθόνες,7,monitors
kotsovolos,Προστασία ρεύματος - UPS,7,
kotsovolos,Συστήματα Κάθετου Ατμού,7,
kotsovolos,Συσκευές για Party,7,
kotsovolos,Games Xbox Series X,7,
kotsovolos,Θερμόμετρα,7,
kotsovolos,Θήκες Φωτογραφικής,7,
kotsovolos,Αποκωδικοποιητές,6,
kotsovolos,Δημοσιογραφικά,6,
kotsovolos,Εντοιχιζόμενα Πλυντήρια Ρούχων,6,washing_machines
kotsovolos,Εσωτερικοί SSD,6,
kotsovolos,Αρχικοποίηση Υπολογιστή,6,
kotsovolos,Βάσεις Αυτοκινήτου,5,
kotsovolos,Media Players,5,
kotsovolos,Φροντίδα Inox,5,
kotsovolos,Παγομηχανές,5,
kotsovolos,Αξεσουάρ Δορυφορικών Δικτύων – Starlink,5,
kotsovolos,Antivirus - Internet Security,5,
kotsovolos,Ηλεκτρονικές ετικέτες τιμών,5,
kotsovolos,Μηχανές Κυπριακού Καφέ,5,coffee_machines
kotsovolos,Παγωτομηχανές,5,
kotsovolos,Κονσόλες PS5,5,consoles
kotsovolos,Κονσόλες Nintendo Switch 2,5,consoles
kotsovolos,Μικρόφωνα,5,
kotsovolos,Τιμονιέρες & Αξεσουάρ,5,
kotsovolos,Θαλάσσια Scooters,5,
kotsovolos,Αποστειρωτές UV,5,
kotsovolos,Gaming,5,
kotsovolos,Συμβόλαια,5,
kotsovolos,Φουρνάκια – Κουζινάκια,4,ovens
kotsovolos,Ανεμιστήρες Τοίχου,4,
kotsovolos,Θήκες HDD,4,
kotsovolos,Καταστροφείς Εγγράφων,4,
kotsovolos,Αφαλάτωση & Καθαρισμός,4,
kotsovolos,Επιτραπέζια Μίξερ,4,
kotsovolos,Επιτραπέζιες Εστίες,4,ovens
kotsovolos,Εργαλεία Κουζίνας,4,
kotsovolos,Παιχνίδια,4,
kotsovolos,DSLR,4,cameras
kotsovolos,Πλυστικά Μηχανήματα,4,
kotsovolos,Ακουστικά Ύπνου,3,headphones
kotsovolos,Καθαριστικά,3,
kotsovolos,Blu Ray & DVD Players,3,
kotsovolos,Εντοιχιζόμενα Πλυντήρια - Στεγνωτήρια,3,washing_machines
kotsovolos,Εκτυπωτές,3,
kotsovolos,Δορυφορικά Δίκτυα – Starlink,3,
kotsovolos,Πλαστικοποιητές,3,
